label,value,slug ,optionType
"Agricultural Engineering College and Research Institute, Kumulur","agricultural engineering college and research institute, kumulur","agricultural-engineering-college-and-research-institute,-kumulur",institute
"Agriculture and Food Management Institute, Mysore","agriculture and food management institute, mysore","agriculture-and-food-management-institute,-mysore",institute
"Agurchand Manmull Jain College, Chennai","agurchand manmull jain college, chennai","agurchand-manmull-jain-college,-chennai",institute
"Ahalia School of Engineering and Technology, Palakkad","ahalia school of engineering and technology, palakkad","ahalia-school-of-engineering-and-technology,-palakkad",institute
"Ahalia School of Management, Palakkad","ahalia school of management, palakkad","ahalia-school-of-management,-palakkad",institute
"Ahmedabad Institute of Technology, Ahmedabad","ahmedabad institute of technology, ahmedabad","ahmedabad-institute-of-technology,-ahmedabad",institute
"Ahmedabad University, Ahmedabad","ahmedabad university, ahmedabad","ahmedabad-university,-ahmedabad",institute
"AIMA Centre for Management Education, Delhi","aima centre for management education, delhi","aima-centre-for-management-education,-delhi",institute
"AIMS Institutes, Bangalore","aims institutes, bangalore","aims-institutes,-bangalore",institute
"AIPH University, Bhubaneswar","aiph university, bhubaneswar","aiph-university,-bhubaneswar",institute
"AISECT Institute of Science and Technology, Bhopal","aisect institute of science and technology, bhopal","aisect-institute-of-science-and-technology,-bhopal",institute
"AISECT University, Hazaribagh","aisect university, hazaribagh","aisect-university,-hazaribagh",institute
"Aishwarya College of Engineering and Technology, Erode","aishwarya college of engineering and technology, erode","aishwarya-college-of-engineering-and-technology,-erode",institute
"Aishwarya College, Jodhpur","aishwarya college, jodhpur","aishwarya-college,-jodhpur",institute
"Aishwarya Institute of Management and IT, Udaipur","aishwarya institute of management and it, udaipur","aishwarya-institute-of-management-and-it,-udaipur",institute
"Aishwarya Polytechnic College, Paruvachi","aishwarya polytechnic college, paruvachi","aishwarya-polytechnic-college,-paruvachi",institute
"AISSMS College of Engineering, Pune","aissms college of engineering, pune","aissms-college-of-engineering,-pune",institute
