label,value,slug ,optionType
Oil and Gas Informatics,oil and gas informatics,oil-and-gas-informatics,specialization
Olericulture,olericulture,olericulture,specialization
Operation Research and Computer Applications,operation research and computer applications,operation-research-and-computer-applications,specialization
Operational Research,operational research,operational-research,specialization
Operations,operations,operations,specialization
Ophthalmology,ophthalmology,ophthalmology,specialization
Optics and Optoelectronics,optics and optoelectronics,optics-and-optoelectronics,specialization
Optometry,optometry,optometry,specialization
Orthopedics,orthopedics,orthopedics,specialization
Osteopathy,osteopathy,osteopathy,specialization
Packaging Technology,packaging technology,packaging-technology,specialization
Paediatric Nursing,paediatric nursing,paediatric-nursing,specialization
Paediatrics,paediatrics,paediatrics,specialization
Paint Technology,paint technology,paint-technology,specialization
Painting,painting,painting,specialization
Palliative Medicine,palliative medicine,palliative-medicine,specialization
Pathology,pathology,pathology,specialization
Pediatrics,pediatrics,pediatrics,specialization
Personal and Environmental Hygiene,personal and environmental hygiene,personal-and-environmental-hygiene,specialization
Personal Hygiene,personal hygiene,personal-hygiene,specialization
Petrochemical Engineering,petrochemical engineering,petrochemical-engineering,specialization
Petroleum Engineering,petroleum engineering,petroleum-engineering,specialization
Petroleum Geology,petroleum geology,petroleum-geology,specialization
Petroleum Technology,petroleum technology,petroleum-technology,specialization
Pharmaceutical Chemistry,pharmaceutical chemistry,pharmaceutical-chemistry,specialization
Pharmaceutical Engineering,pharmaceutical engineering,pharmaceutical-engineering,specialization
Pharmaceutical Technology,pharmaceutical technology,pharmaceutical-technology,specialization
Pharmacology,pharmacology,pharmacology,specialization
Pharmacy,pharmacy,pharmacy,specialization
Philosophy,philosophy,philosophy,specialization
Photography,photography,photography,specialization
Photonics,photonics,photonics,specialization
Physical Medicine and Rehabilitation,physical medicine and rehabilitation,physical-medicine-and-rehabilitation,specialization
Physical Oceanography,physical oceanography,physical-oceanography,specialization
Physical Sciences,physical sciences,physical-sciences,specialization
Physics,physics,physics,specialization
Physiology,physiology,physiology,specialization
Phytomedical Science and Technology,phytomedical science and technology,phytomedical-science-and-technology,specialization
Plant Biochemistry,plant biochemistry,plant-biochemistry,specialization
Plant Biology and Plant Biotechnology,plant biology and plant biotechnology,plant-biology-and-plant-biotechnology,specialization
Plant Pathology,plant pathology,plant-pathology,specialization
Plant Science,plant science,plant-science,specialization
Plastic Arts,plastic arts,plastic-arts,specialization
Plastic Technology,plastic technology,plastic-technology,specialization
Political Science,political science,political-science,specialization
Politics,politics,politics,specialization
Pollution Control,pollution control,pollution-control,specialization
Polymer Engineering,polymer engineering,polymer-engineering,specialization
Polymer Science,polymer science,polymer-science,specialization
Polymer Technology,polymer technology,polymer-technology,specialization
Population and Climate Change,population and climate change,population-and-climate-change,specialization
Post Harvest Technology,post harvest technology,post-harvest-technology,specialization
Pottery and Ceramics,pottery and ceramics,pottery-and-ceramics,specialization
Poultry Production,poultry production,poultry-production,specialization
Power Electronics and Drives,power electronics and drives,power-electronics-and-drives,specialization
Power System Engineering,power system engineering,power-system-engineering,specialization
Printing Technology,printing technology,printing-technology,specialization
Printmaking,printmaking,printmaking,specialization
Process Control and Instrumentation,process control and instrumentation,process-control-and-instrumentation,specialization
Product Design and Development,product design and development,product-design-and-development,specialization
